review_id,stars,text,food,ambience,service,price
yi0R0Ugj_xUx_Nek0-_Qig,5,"Went in for a lunch. Steak sandwich was delicious, and the Caesar salad had an absolutely delicious dressing, with a perfect amount of dressing, and distributed perfectly across each leaf. I know I'm going on about the salad ... But it was perfect.
 
 Drink prices were pretty good.
 
 The Server, Dawn, was friendly and accommodating. Very happy with her.
 
 In summation, a great pub experience. Would go again!",1,0,1,1
fdiNeiN_hoCxCMy2wTRW9g,4,"I'll be the first to admit that I was not excited about going to La Tavolta. Being a food snob, when a group of friends suggested we go for dinner I looked online at the menu and to me there was nothing special and it seemed overpriced.Im also not big on ordering pasta when I go out. Alas, I was outnumbered. Thank goodness! I ordered the sea bass special. It was to die for. Cooked perfectly, seasoned perfectly, perfect portion. I can not say enough good things about this dish. When the server asked how it was he seemed very proud of the dish and said, "" doesn't she (the chef) do an incredible job?"" She does.
 
 My hubby got the crab tortellini and also loved his. I heard ""mmmm this is so good"" from all around the table. Our waiter was super nice and even gave us free desserts because we were some of the last people in the restaurant. Service was very slow and the place was PACKED but we had our jugs of wine and a large group with good conversation so it didn't seem to bother anyone.
 
 So-
 
 Do order the calamari and fried zucchini appetizers. Leave out the mussels.
 
 If they have the sea bass special, I highly recommend it. The chicken parm and crab tortellini were also very good and very big. The chicken Romano was a bit bland. The house salads were teeny.
 
 Do make a reservation but still expect to wait for your food. Go with a large group of people and plan for it to be loud. Don't go with a date unless you're fighting and don't feel like hearing anything they have to say.Ask to sit in the side room if it's available.",1,1,1,1
G7XHMxG0bx9oBJNECG4IFg,3,"Tracy dessert had a big name in Hong Kong and the one in First Markham place has been here for many years now!
 
 Came in for some Chinese dessert, and I must say their selection has increased tremendously over the years. I might as well add that the price has also increased tremendously as well. The waitress gave us tea, which I could taste had red date in it. Fancy!
 
 A simple taro with coconut with tapioca pearls was like $5.25 or something. Basically all the desserts were more than $5. That's crazy! I can literally just make this dessert at home and for a bowl, it would probably cost like $0.50. A few years ago, I think I can still get it for like $3-$4, which is more reasonable, but wow, more than $5 is a little over the top for this dessert. Though I must say, it is Tracy Dessert, and they are a little more on the expensive side.
 
 I also saw other items on the menu like fish balls, chicken wings, shaved ice. My friend got a mango drink with fresh mango in it!
 
 I'm also surprised how many people come to Tracy Dessert after work. We came on a Sunday and the tables were always filled. I think the amount of tables they had were just perfect because no one really waited for seats for a long time, but the tables kept filling up once a table was finished.",1,1,0,1
8e9HxxLjjqc9ez5ezzN7iQ,1,"This place has gone down hill.Clearly they have cut back on staff and food quality
 
 Many of the reviews were written before the menu changed.I've been going for years and the food quality has gone down hill.
 
 The service is slow & my salad, which was $15, was as bad as it gets.
 
 It's just not worth spending the money on this place when there are so many other options.",1,0,1,1
kbtscdyz6lvrtGjD1quQTg,4,"Like walking back in time, every Saturday morning my sister and I was in a bowling league and after we were done, we'd spend a few quarters playing the pin ball machines until our mother came to pick us up.
 
 My sister was daring and play the machines hard, she was afraid of that ""tilt"" showing up and freezing the game.I, on the other hand was a bit more gentler and wanted to make sure I got my quarter's worth.
 
 This place has rows and rows of machines, some are really old and some are more of a mid 80's theme.There is even a Ms pac man!It was fun to spend an afternoon playing the machines and remembering all the fun of my early teen years.",0,0,0,1
-I5umRTkhw15RqpKMl_o1Q,1,"Walked in around 4 on a Friday afternoon, we sat at a table just off the bar and walked out after 5 min or so. Don't even think they realized we walked in. However everyone at the bar noticed we walked in!!! Service was non existent at best. Not a good way for a new business to start out. Oh well, the location they are at has been about 5 different things over the past several years, so they will just be added to the list. SMDH!!!",0,0,1,0
Z7wgXp98wYB57QdRY3HQ3w,4,"Wow. So surprised at the one and two star reviews!We started with the most tender calamari. Although the marinara sauce was a bit bland, but a touch of salt made it just right. My husband had the veal with peppers and said it was so delicious and tender. The mashed potatoes were perfect. I had the salmon Diablo which was also delicious. Our salad was beautiful! Dressing was served on the salad and it was a nice amount. We ended our delicious meal with a piece of tiramisu. Our server Matt was right on!! Very pleasant and knowledgeable about the menu. Our appetizer, salad and entrees were timed perfectly. I love salad and did not mind that my entree was served while I was still eating it! No problem it let my dinner cool to just the right temp for me to eat it comfortably.
 I wonder sometimes if people just don't appreciate relaxing and taking time to eat a wonderful and beautifully prepared meal.A wonderful atmosphere. So relaxing. The chairs are super comfortable too!!! We will certainly be back.
 Give it a try.Don'talways go by the reviews.
 A bottle of Riesling, calamari app, two delicious entrees and dessert for $92!
 Well with it.",1,1,1,1
JVcjMhlavKKn3UIt9p9OXA,1,"I cannot believe how things have changed in 3 years. I picked up duck congee sometime in the winter when my hubby was sick.I was very disappointed because the ginger fish sauce tasted like it had gone bad (it should never be bitter).Today, my hubby wanted to eat there since he was craving the duck congee and most places don't serve the duck & coleslaw side. We waited about 10 minutes to get our menu.After we placed our orders, we waited another 5 minutes to get the tea that most places bring with the menu.I could go on with the details but the gist of the story is they were understaffed or the staff was slow.The worst part of it was that the service.The servers make us feel bad for asking for anything (like when they took our order).We had arrived and placed our order before another couple bside us at least 10 minutes ahead but somehow, this couple received their pho before mine.They were almost done eating their pho before mine came out.",1,0,1,0
svK3nBU7Rk8VfGorlrN52A,5,"You can't really find anything wrong with this place, the pastas and pizzas are both amazing and high quality, the price is very reasonable, the owner and the staff are very friendly, if you're in downtown check this place out, a lot of people think just because it's downtown there are lots of options around but that's not always the case as there is also a lot of poor quality food in downtown as well.",1,0,1,1
1wVA2-vQIuW_ClmXkDxqMQ,4,Great lunch today. Staff was very helpful in assisting with selections and knowledgeable on the ingredients. We enjoyed the BBQ chicken with tika masala sauce and really good naan bread. The biryani with chicken was also yummy! Fun to see the food being prepared in the tandoori ovens. Great addition to the fast casual scene in Cleveland.,1,1,1,0
6BnQwlxRn7ZuWdzninM9sQ,3,"I love chinese food and I love mexican food. What can go wrong? A couple of things. First things first, this place is more of a ""rice bowl"" kind of place. I thought it was going to be more diverse as far as the menu goes, but its mainly rice bowls you get with different kinds of meats. The ordering was a little confusing at first, but one of the employees helped us out and I got the 2-item bowl and got the jade chicken and hengrenade chicken with all rice(jerk). I also ordered a jade chicken quesadilla on the side.
 
 I'm gonna admit, this place looks kinda dirty. I don't think Arizona uses those health department letter grade system like California does, but if I were to just judge by how it looked inside, i'd give it a ""C"" grade lol. We waited for about 15 minutes or so and finally got our food. We took it to go and ate at our hotel room.
 
 Mmmm... the food was just alright. The jade chicken was nothing special. It tasted like any generic chinese fast food orange chicken/sesame chicken variant. The hengrenade chicken, although was the less spicier version of the jerk chicken, was still pretty spicy for me. Just be warned the jerk chicken is super spicy. If you aren't sure, ask for a sample at the restaurant before ordering, but it was way too spicy for me.
 
 The jade chicken quesadilla was decent, but nothing special. Just imagine orange chicken in between a tortilla and cheese. A friend of mine ordered a jade chicken burrito and we were confused when we pulled it out of the bag because it was literally the size of Mcdonald's apple pie. If you order the burrito, be warned that it's a burrito for gnomes and smurfs, but he said it was tasty.
 
 They provide a snicker doodle sugar cookie for each meal and it was decent, again nothing special.
 
 Not gonna lie, the next day my stomach felt like a little mexican dude and chinese dude were wrestling and throwing molotov cocktails inside. I used the bathroom like 5 times. I don't recommend eating this place if you have a lot to do the next day.",1,1,1,0
rEITo90tpyKmEfNDp3Ou3A,5,"We've been a huge Slim's fan since they opened one up in Texas about two years ago when we used to live there. This place never disappoints. They even have great salads and grilled chicken. Plus they have fresh brewed sweet tea, it's the best!",1,0,0,0
4bUyL7lzoWzDZaJETAKREg,3,"Good selection of classes of beers and mains. I've been here twice.
 
 First time I had the fried chicken. It was delicious, but be warned, extremely salty. I couldn't even finish the last piece of chicken after experiencing a salt overload.
 
 Second time we came on a wednesday. We didn't know it was BBQ night, where they have a completely different menu, and don't offer anything from their original vegetarian-friendly menu. This menu has one vegetarian-friendly option - an eggplant sandwich. The vegetarian in my party said it was awful. Also, on BBQ night you choose 2 sides. Except they were out of all their sides except 2 - fries and potato salad. I can't say I was thrilled to have carb heavy sides with my carb heavy main. How do you run out of sides so early in the evening?
 
 Service not so great.
 
 I'd avoid coming here on wednesdays.",1,0,1,0
Amo5gZBvCuPc_tZNpHwtsA,5,"Our family LOVES the food here. Quick, friendly, delicious, and a great restaurant to take kids to. 5 stars!",1,0,1,0
IPw8yWiyqnfBzzWmypUHgg,5,"If you are looking for the best pierogies in Pittsburgh, this is your place. There are a few small tables outside but most of the business is carry out. Pierogies Plus wins Best Pierogies every year. Why? Because the owner is from Poland and she is making the real deal pierogies. The best part is that they are hand pinched by a group of older Polish and Hungarian women.
 The biggest seller is potato and cheese but they sell many flavors. They are like plump pillows of softness. You can buy them buy the dozen. You can get them cold to take home and freeze or warm and ready to eat. The warm ones are served with butter and onions.It's definitely a comfort food. The best part is that they ship internationally. Yes, they are that good.",1,0,1,0
IByf6mVY0WA838XNSh-5MA,4,"The food is always good and the prices are reasonable.Although it's not exactly a restaurant -- more like a snack bar, limited menu and you walk up to the counter, place your order, wait a minute or so for them to prepare your order, and pay the cashier, then search for a table.Kind of like a sandwich shop.Still a much better choice for value than the other hotel Deli's on the strip.",1,0,1,1
S337tATeouQJdoPYyir29w,5,"Pick any meat on the planet and the chef will make a Mexican style dish with amazing flavor! Wow, fish and lamb tacos to die for. Drinks are great as well.",1,0,0,0
